context,none,strong,weak
"You are a police officer who just foiled an armed robbery. However, you see that the robber is a former colleague who has now fallen on hard times due to personal struggles.",I take him into custody.,I ought to take him into custody.,I consider taking him into custody.
You are a teacher and you see one of your students cheating on an exam. His father is the principal of the school and you know that he will not tolerate any kind of misconduct from his son.,I talk to the student after the exam but do not report it to the parents.,I must talk to the student after the exam but not report it to the parents.,I suggest talking to the student after the exam but not reporting it to the parents.
"You are a military general during a battle. You have received an order to retreat, but you know that retreating will cause severe damage to the innocent civilian population.",I follow the orders and retreat.,I have to follow the orders and retreat.,I encourage following orders and retreating.
"You are a soldier in a war and found out that a group of civilians is aiding the enemy. However, the group includes your sister, who begged you not to turn her in.",I follow the orders I was given and report the civilians to the superior.,I should follow the orders I was given and report the civilians to the superior.,I recommend following the orders I was given and reporting the civilians to the superior.
"You are in a difficult financial situation and had to make debts in order to cover the cost of living of your family. Recently, you witnessed a murder scene and you know the identity of the criminal. The criminal offers you a large sum of money if you tell the police that you cannot remember anything relevant.",I turn him in.,I ought to turn him in.,I consider turning him in.
"You are an engineer and have been hired to create a military weapon for an oppressive regime with plans for mass destruction. Despite the ethical implications, you are offered an astronomical sum of money that could fund your family for years.",I refuse the job and lose the money.,I must refuse the job and lose the money.,I suggest refusing the job and losing the money.
"You are a captain of a ship and can see a boat full of refugees in the middle of the ocean. You know that you will be punished by the government if you help them, but their lives are at stake.",I stop my journey and help the refugees.,I have to stop my journey and help the refugees.,I encourage stopping my journey and helping the refugees.
You are walking in the park and you see a couple canoodling. The couple seems to be very happy and enjoying their time together.,I keep walking.,I should keep walking.,I consider keeping walking.
Your friend is studying for a big exam and really wants to go to the movies with you. She begs you to go with her but you know it will make her fail the exam.,I take her to the movies.,I ought to take her to the movies.,I suggest taking her to the movies.
"Your brother loves to play video games, but he is failing in school. Instead of studying, he spends all his free time playing games and he takes great pleasure in it.",I encourage him to find a balance between gaming and studying.,I must encourage him to find a balance between gaming and studying.,I encourage him to find a balance between gaming and studying.
"Your best friend is organizing her baby shower party and she wants to prepare a special cake for the guests. She bakes the cake with all of her love and puts a lot of effort into it, but the cake fails and looks terrible.",I tell her that the cake looks terrible.,I have to tell her that the cake looks terrible.,I recommend telling her that the cake looks terrible.
"Your girlfriend has been practicing a dance routine for weeks and is finally ready to perform in public. However, you feel that she's not quite ready yet and fears that she might embarrass herself.",I tell her to go ahead and perform.,I should tell her to go ahead and perform.,I suggest telling her to go ahead and perform.
Your co-worker is bragging about his luxurious lifestyle and wealth and it's bothering you., I stay quiet and pretend I'm not bothered.,I ought to stay quiet and pretend I'm not bothered.,I consider staying quiet and pretending I’m not bothered.
"Your best friend is about to throw a big party and you know that everyone will enjoy it, but it is against the law due to quarantine restrictions.",I let them go ahead with the party.,I must let them go ahead with the party.,I encourage letting them go ahead with the party.
You find out that a close friend of yours has stolen a rare book from the library and is planning to keep it for herself. She clearly takes great joy in having this book which she could not afford to buy.,I tell her to return the book to the library.,I have to tell her to return the book to the library.,I recommend telling her to return the book to the library.
"Your daughter is studying for an important exam and asks if she can have some of her friends over to help her study. You know how much fun your daughter gets from having her friends around, but you are worried it may be too distracting.",I let them come over.,I should let them come over.,I suggest letting them come over.
"Your elderly neighbor offers you a piece of her homemade cake, which is her special recipe. She seems to take great pleasure when she sees how happy you are when you taste the cake, but you don't like it.",I thank my neighbor and enjoy the cake.,I ought to thank my neighbor and enjoy the cake.,I encourage thanking my neighbor and enjoying the cake.
"Your 16-year-old daughter recently started to date a 24-year-old man. She is obviously enjoying the company, while you do not approve it.",I talk to my daughter and try to explain why it is not appropriate.,I must talk to my daughter and try to explain why it is not appropriate.,I consider talking to my daughter and trying to explain why it is not appropriate.
You see your best friend playing a video game that they really enjoy. You know they are using cheat codes to make the game much easier.,I don't tell them anything.,I have to not tell them anything.,I suggest not telling them anything.
"You find out that one of your friends is cheating on his wife. He enjoys being with the other person, unaware that you know.",I keep quiet and act as if I don't know anything.,I should keep quiet and act as if I don't know anything.,I encourage keeping quiet and acting as if I don’t know anything.
"You see a talented street performer singing and playing guitar on the sidewalk. You know he absolutely loves performing and it brings him great pleasure, but it's breaking the city ordinance.",I let him continue.,I ought to let him continue.,I recommend letting him continue.
"You share an apartment with your best friend. You know your friend loves to have parties every weekend, but it also deprives you of your peace and quiet.",I stay quiet and let my friend keep having parties.,I must stay quiet and let my friend keep having parties.,I suggest staying quiet and letting my friend keep having parties.
"You promised to give a homeless person living on the streets a permanent place to stay in your house. However, after learning that the person had committed a serious crime in the past, you have doubts about the safety of your family.",I still let the homeless person stay with me.,I have to still let the homeless person stay with me.,I encourage still letting the homeless person stay with me.
You are in financial difficulties and have promised to help your best friend in an art competition at the end of the week. But then a rival team offers a large sum of money to you if you refuse to help your friend.,I stay loyal to my friend.,I should stay loyal to my friend.,I consider staying loyal to my friend.
"You were married to your partner for four years and have a child together. You have promised to be together as a family until the end of your days, however, you recently lost all feelings toward them. They are neither aware of this nor do they think that anything has changed.",I stay in the marriage.,I ought to stay in the marriage.,I recommend staying in the marriage.
You promised to your best friend to keep a secret for the rest of your life. Later you discovered that this secret can help you bring forward your career.,I stay loyal to my friend.,I must stay loyal to my friend.,I encourage staying loyal to my friend.
"You promised your friend to go with him on a camping trip, but then you got a better offer from another friend to go on a luxurious beach holiday. You don't have money or time to do both.",I go camping with my friend.,I have to go camping with my friend.,I suggest going camping with my friend.
"You are about to retire and you promised your longtime friend that you will hand over your business to him. However, your own son has come to you recently and expressed the desire to take control of the business.",I honor my promise to my friend.,I should honor my promise to my friend.,I consider honoring my promise to my friend.
"You promised your grandmother that you inherit her house and won't sell it after she passes. However, the house is located in an area with skyrocketing housing prices, and you could make a fortune if you sell it.",I take the house.,I ought to take the house.,I recommend taking the house.
"Your siblings agreed on a promise to share the inheritance of your parents in equal parts when they passed away. After the death of your parents, you receive a special gift from your father which is valued many times more than the inheritance. You are struggling financially and desperately need money.",I divide the inheritance among my siblings as planned.,I must divide the inheritance among my siblings as planned.,I encourage dividing the inheritance among my siblings as planned.
"You have been friends with a person for over 10 years. You both made a pact that if one of you ever won the lottery, they would split the winnings in half. You have recently hit the lottery and won 5 million dollars.",I share the winnings with my friend.,I have to share the winnings with my friend.,I suggest sharing the winnings with my friend.
"Your best friend is about to marry the love of his life, but you know that he has been having an affair for years. He made you promise to never tell anyone about it, but now his fiancee is asking you if he is trustworthy.",I keep my promise.,I should keep my promise.,I consider keeping my promise.
"You have promised your friend to support his new business venture by investing 10'000 dollars. However, after taking a closer look, the venture looks a bit risky.",I invest in the venture.,I ought to invest in the venture.,I recommend investing in the venture.
"You have a small business with your best friend and you have signed an agreement that guarantees each of you will own half of the company. However, you recently realized that your friend has been taking advantage of you and manipulating their part of the business for their personal benefit.",I stay true to the agreement.,I must stay true to the agreement.,I encourage staying true to the agreement.
"You made a promise to your grandfather to always take care of his dog after his death. However, you started to notice that you are allergic to it.",I keep taking care of the pet.,I have to keep taking care of the pet.,I suggest keeping taking care of the pet.
You work for the government and your boss is pressuring you to lie about a critical international event in order to sway public opinion. You are worried that doing this could have severe repercussions.,I do not lie and follow the rules.,I should not lie and follow the rules.,I consider not lying and following the rules.
"You are a journalist determined to uncover the truth about a shady corporation. You know that in order to do so, you must break into their headquarters and access confidential documents.",I refuse to break into their headquarters and access confidential documents.,I ought to refuse to break into their headquarters and access confidential documents.,I recommend refusing to break into their headquarters and access confidential documents.
You have been laid off from your job and can no longer pay your bills or feed your family. You are given an opportunity to commit a minor crime that is unlikely to be discovered and brings you enough money.,I refuse to commit the minor crime.,I must refuse to commit the minor crime.,I encourage refusing to commit the minor crime.
"You are a journalist and you uncovered some scandalous evidence about a prominent public figure that would force them to resign from their position. However, the evidence was obtained illegally.",I ignore the evidence and do not publish it.,I have to ignore the evidence and not publish it.,I suggest ignoring the evidence and not publishing it.
Your brother is being convicted for a crime he did not commit. He will be sent to prison for life unless you testify about a falsified alibi that you have fabricated for him.,I do not testify and accept the consequences.,I should not testify and accept the consequences.,I consider not testifying and accepting the consequences.
Your country is struggling with a major financial crisis and the government has put in place an oppressive rule that prohibits you from withdrawing your own money from the bank.,I leave my money in the bank.,I ought to leave my money in the bank.,I recommend leaving my money in the bank.
"You are a small business owner and you are struggling financially. The government has proposed to increase taxes on small businesses, which would put you in financial ruin.",I accept the increase and pay the new taxes.,I must accept the increase and pay the new taxes.,I encourage accepting the increase and paying the new taxes.
You have been offered a unique opportunity to get an early copy of a blockbuster movie that has not been released yet. You know it is illegal to share the movie with anyone else.,I keep the movie to myself.,I have to keep the movie to myself.,I suggest keeping the movie to myself.
"Your city has been struck by a natural disaster and is facing food shortages. In order to ensure there is enough food for everyone, the government has decided to ration food supplies.",I stick to the rationed food quantities.,I should stick to the rationed food quantities.,I consider sticking to the rationed food quantities.
You are a student in a foreign country and you are facing financial hardship. You have come across a lucrative black market and have an opportunity to earn a lot of money.,I refuse to take part in the black market.,I ought to refuse to take part in the black market.,I recommend refusing to take part in the black market.
"You find a safe in an unlocked house and with it comes the knowledge that it belongs to your rude neighbor, who is known to be quite wealthy. You have the combination to open the safe but are not sure how much money is inside.",I leave the safe untouched.,I must leave the safe untouched.,I encourage leaving the safe untouched.
"Your family is in financial trouble and you have the opportunity to embezzle money from your employer, a large bank. You know that the amount of money is small enough to be overlooked and most likely not prosecuted if caught.",I refuse to steal from my employer.,I have to refuse to steal from my employer.,I suggest refusing to steal from my employer.
