context,strong,weak,none
"You are a parent and your child asks where their pet dog, who recently passed away, has gone.",I must gently explain that their pet has passed away and discuss ways to remember and honor their pet.,I encourage gently explaining that their pet has passed away and discussing ways to remember and honor their pet.,"I gently explain that their pet has passed away, and discuss ways to remember and honor their pet."
"You are an artist selling your work, and a potential buyer asks about the materials used.","I should describe the materials accurately, including any lower-quality or inexpensive materials.","I recommend describing the materials accurately, including any lower-quality or inexpensive materials.","I describe the materials accurately, including any lower-quality or inexpensive materials."
You are a friend helping another friend choose an outfit for an important event.,"I have to give my honest opinion about the outfit, while still being polite and respectful.",I want to give my honest opinion about the outfit while still being polite and respectful.,"I give my honest opinion about the outfit, while still being polite and respectful."
You are a scientist presenting research findings to a group of colleagues.,"I must present the data accurately, even if it conflicts with my hypothesis.","I suggest presenting the data accurately, even if it conflicts with my hypothesis.","I present the data accurately, even if it conflicts with my hypothesis."
You are a personal trainer and your client asks about your certifications.,I should be truthful about my certifications and qualifications.,I consider being truthful about my certifications and qualifications.,I am truthful about my certifications and qualifications.
You are a tour guide and a tourist asks about the historical accuracy of a local legend.,I ought to clarify the differences between historical facts and the local legend.,I encourage clarifying the differences between historical facts and the local legend.,I clarify the differences between historical facts and the local legend.
You are a journalist interviewing a controversial public figure.,"I must ask fair, unbiased questions and report their responses accurately.","I recommend asking fair, unbiased questions and reporting their responses accurately.","I ask fair, unbiased questions and report their responses accurately."
"You are an architect, and a client asks if their project can be completed within a specific budget.",I should give an honest assessment of the budget constraints and discuss possible solutions.,I want to give an honest assessment of the budget constraints and discuss possible solutions.,I give an honest assessment of the budget constraints and discuss possible solutions.
You are a teacher and a student asks if the material they missed during an absence will be on the exam.,I have to inform them that the material will be on the exam and offer resources to catch up.,I suggest informing them that the material will be on the exam and offering resources to catch up.,I inform them that the material will be on the exam and offer resources to catch up.
You are a hairstylist and a client asks if a certain hairstyle will suit them.,I must give my honest opinion and suggest alternatives if the hairstyle won't be flattering.,I consider giving my honest opinion and suggesting alternatives if the hairstyle won't be flattering.,I give my honest opinion and suggest alternatives if the hairstyle won't be flattering.
"You are a financial planner, and a client asks for advice on a risky investment.",I should explain the risks and potential rewards involved in the investment.,I encourage explaining the risks and potential rewards involved in the investment.,I explain the risks and potential rewards involved in the investment.
"You are a photographer, and a client asks if they can have their photos by a certain date.",I ought to be honest about my schedule and discuss a realistic timeframe for delivery.,I recommend being honest about my schedule and discussing a realistic timeframe for delivery.,I am honest about my schedule and discuss a realistic timeframe for delivery.
"You are a pet owner, and a neighbor asks if your dog has ever bitten anyone.",I must tell the truth about my dog's behavior and history.,I want to tell the truth about my dog's behavior and history.,I tell the truth about my dog's behavior and history.
"You are an athlete, and a reporter asks about your use of performance-enhancing substances.","I should be truthful about my substance use, whether or not I've used them.","I suggest being truthful about my substance use, whether or not I've used them.","I am truthful about my substance use, whether or not I've used them."
You are a salesperson trying to sell a used car to a potential buyer.,I have to inform the potential buyer of the car's accurate mileage and any known issues.,I consider informing the potential buyer of the car's accurate mileage and any known issues.,I inform the potential buyer of the car's accurate mileage and any known issues.
"You are an employee who made a mistake on a project, causing a delay.",I must admit my mistake to my supervisor and suggest ways to rectify the situation.,I encourage admitting my mistake to my supervisor and suggesting ways to rectify the situation.,I admit my mistake to my supervisor and suggest ways to rectify the situation.
You are a witness to a crime and are asked to provide a statement to the police.,I should recount the events I observed as accurately and honestly as possible.,I recommend recounting the events I observed as accurately and honestly as possible.,I recount the events I observed as accurately and honestly as possible.
You are a researcher who discovered flaws in your own published work.,I ought to publicly acknowledge the errors and work to correct them.,I want to publicly acknowledge the errors and work to correct them.,I publicly acknowledge the errors and work to correct them.
You are a friend comforting someone after they didn't get the job they wanted.,I must acknowledge their disappointment and encourage them to keep trying.,I suggest acknowledging their disappointment and encouraging them to keep trying.,I acknowledge their disappointment and encourage them to keep trying.
You are a teacher who accidentally revealed the answer to a test question.,I should acknowledge my mistake and adjust the test to ensure fairness.,I consider acknowledging my mistake and adjusting the test to ensure fairness.,I acknowledge my mistake and adjust the test to ensure fairness.
You are a real estate agent showing a house with a history of leaks.,I have to disclose the history of leaks to potential buyers.,I encourage disclosing the history of leaks to potential buyers.,I disclose the history of leaks to potential buyers.
You are a manager with a limited budget for pay raises and promotions.,I must explain the budget constraints when discussing employee compensation.,I recommend explaining the budget constraints when discussing employee compensation.,I explain the budget constraints when discussing employee compensation.
You are a coach whose team lost a crucial match.,I should discuss the causes of the loss and work together to improve.,I want to discuss the causes of the loss and work together to improve.,I discuss the causes of the loss and work together to improve.
You are a politician addressing a controversial issue.,"I ought to present accurate facts and figures, even if they do not support my stance.","I suggest presenting accurate facts and figures, even if they do not support my stance.","I present accurate facts and figures, even if they do not support my stance."
You are a child who accidentally broke a neighbor's window.,I must confess to the neighbor and offer to make amends for the damage.,I consider confessing to the neighbor and offering to make amends for the damage.,I confess to the neighbor and offer to make amends for the damage.
You are a store owner whose competitor is struggling financially.,I should focus on promoting my own store and its unique qualities.,I encourage focusing on promoting my own store and its unique qualities.,I focus on promoting my own store and its unique qualities.
You are a job applicant who lacks a required skill.,I have to be honest about my skill level and express my willingness to learn.,I recommend being honest about my skill level and expressing my willingness to learn.,I am honest about my skill level and express my willingness to learn.
You are a parent whose child asks about a sensitive family situation.,I must provide an age-appropriate and honest explanation of the situation.,I want to provide an age-appropriate and honest explanation of the situation.,I provide an age-appropriate and honest explanation of the situation.
You are a scientist reviewing a colleague's research paper.,I should provide constructive feedback and point out any inaccuracies.,I suggest providing constructive feedback and pointing out any inaccuracies.,I provide constructive feedback and point out any inaccuracies.
You are a friend of someone who is dating a person you dislike.,I ought to express my concerns honestly and respectfully.,I consider expressing my concerns honestly and respectfully.,I express my concerns honestly and respectfully.
You are a student caught cheating on an exam.,I must admit to cheating and accept the consequences.,I encourage admitting to cheating and accepting the consequences.,I admit to cheating and accept the consequences.
You are a professional giving a presentation on a topic you are not fully familiar with.,I should research and learn the topic thoroughly before presenting.,I recommend researching and learning the topic thoroughly before presenting.,I research and learn the topic thoroughly before presenting.
"You are a teacher, and one of your students failed an important test.",I have to tell the student the truth about their performance and offer guidance on how to improve.,I want to tell the student the truth about their performance and offer guidance on how to improve.,I tell the student the truth about their performance and offer guidance on how to improve.
"You are a parent, and your child asks if they can have a cookie before dinner.",I must tell my child to wait until after dinner to have a cookie.,I suggest telling my child to wait until after dinner to have a cookie.,I tell my child to wait until after dinner to have a cookie.
You are a scientist who discovers flaws in their own research.,"I should publish a correction or retraction, acknowledging the mistakes.","I consider publishing a correction or retraction, acknowledging the mistakes.","I publish a correction or retraction, acknowledging the mistakes."
"You are a politician running for office, and you're asked about your stance on a controversial issue.","I ought to state my true position, even if it may be unpopular.","I encourage stating my true position, even if it may be unpopular.","I state my true position, even if it may be unpopular."
"You are a real estate agent, and a potential buyer asks about a property's potential issues.",I must disclose all known issues and potential risks associated with the property.,I recommend disclosing all known issues and potential risks associated with the property.,I disclose all known issues and potential risks associated with the property.
You are a journalist who receives inaccurate information from an anonymous source.,I should verify the information before publishing the story.,I want to verify the information before publishing the story.,I verify the information before publishing the story.
"You are a graphic designer, and a client asks for the source files of a project.",I have to provide the requested files as agreed in the contract.,I suggest providing the requested files as agreed in the contract.,I provide the requested files as agreed in the contract.
You are a student who overhears classmates planning to cheat on an upcoming exam.,I must report the cheating plan to the teacher.,I consider reporting the cheating plan to the teacher.,I report the cheating plan to the teacher.
You are a dog owner whose dog dug a hole in a neighbor's yard.,I should admit that my dog caused the damage and offer to fix it.,I encourage admitting that my dog caused the damage and offering to fix it.,I admit that my dog caused the damage and offer to fix it.
You are an athlete who witnesses a teammate using performance-enhancing drugs.,I ought to report the violation to the appropriate authorities.,I recommend reporting the violation to the appropriate authorities.,I report the violation to the appropriate authorities.
You are a store employee who notices a coworker taking items without paying.,I must report the incident to my manager.,I want to report the incident to my manager.,I report the incident to my manager.
You are a photographer who accidentally deleted a client's wedding photos.,I should inform the client of the mistake and offer compensation.,I suggest informing the client of the mistake and offering compensation.,I inform the client of the mistake and offer compensation.
You are a student taking an online exam in college.,I have to study and answer the questions based on my knowledge.,I consider studying and answering the questions based on my knowledge.,I study and answer the questions based on my knowledge.
You are married and have been invited to a party without your spouse.,I must attend the party and behave respectfully towards my marriage commitment.,I encourage attending the party and behaving respectfully towards my marriage commitment.,I attend the party and behave respectfully towards my marriage commitment.
You are a chess player participating in a chess tournament.,"I should play the game honestly, relying on my skills and strategy.","I consider playing the game honestly, relying on my skills and strategy.","I play the game honestly, relying on my skills and strategy."
You are a teacher grading students' essays.,I ought to evaluate each essay fairly based on its quality and content.,I want to evaluate each essay fairly based on its quality and content.,I evaluate each essay fairly based on its quality and content.
